OxySoft export of:	E:\???????????\changsha\????\fNIRES????\CUTIN\38--4-1
Export date:	2022/12/13 16:35:10
Start of measurement:	2022-11-24 17:29:24.831

Datafile sample rate:	50.00	Hz
Datafile duration:	34.120	s
Datafile total number of samples:	1706

Description:	

Optode-template:	OctaMon+ 2x4 channel
Optode distance (mm):	 30.00	30.00
Optode gradients (mm):	 -	-
DPF:	5.85	5.85

Device id:	16168
# Receivers:	2
# Light sources:	16
# ADC:	1

Light source wavelengths:
device	index	wavelength
1	1	844	nm
1	2	757	nm
1	3	844	nm
1	4	757	nm
1	5	844	nm
1	6	757	nm
1	7	844	nm
1	8	757	nm
1	9	844	nm
1	10	757	nm
1	11	844	nm
1	12	757	nm
1	13	844	nm
1	14	757	nm
1	15	844	nm
1	16	757	nm

Export sample rate:	50.00	Hz
Selected time span:	0	34.120
Selected time span (sample numbers):	0	1706


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (38--4-1)
3	Rx1-Tx1 HHb (38--4-1)
4	Rx1-Tx2 O2Hb (38--4-1)
5	Rx1-Tx2 HHb (38--4-1)
6	Rx1-Tx3 O2Hb (38--4-1)
7	Rx1-Tx3 HHb (38--4-1)
8	Rx1-Tx4 O2Hb (38--4-1)
9	Rx1-Tx4 HHb (38--4-1)
10	Rx2-Tx5 O2Hb (38--4-1)
11	Rx2-Tx5 HHb (38--4-1)
12	Rx2-Tx6 O2Hb (38--4-1)
13	Rx2-Tx6 HHb (38--4-1)
14	Rx2-Tx7 O2Hb (38--4-1)
15	Rx2-Tx7 HHb (38--4-1)
16	Rx2-Tx8 O2Hb (38--4-1)
17	Rx2-Tx8 HHb (38--4-1)
18	(Event)


1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
     0	125.2915	86.7510	125.9694	84.8089	133.0365	89.2332	124.2470	83.5616	124.7170	82.5016	118.2675	81.9369	131.8385	87.5026	127.5317	86.4873	
     1	125.2915	86.7510	125.9694	84.8089	133.0365	89.2332	124.2470	83.5616	124.7170	82.5016	118.2675	81.9369	131.8385	87.5026	127.5317	86.4873	
     2	 0.3018	 0.0381	 0.2416	 0.0339	 0.4708	 0.1401	 0.7990	 0.3222	-0.4228	-0.1911	-0.1068	-0.0644	 0.2804	 0.1052	 0.3306	 0.0875	
     3	 0.3018	 0.0381	 0.2416	 0.0339	 0.4708	 0.1401	 0.7990	 0.3222	-0.4228	-0.1911	-0.1068	-0.0644	 0.2804	 0.1052	 0.3306	 0.0875	
     4	 0.2929	 0.0327	 0.2327	 0.0285	 0.4530	 0.1294	 0.7901	 0.3168	-0.4228	-0.1911	-0.1068	-0.0644	 0.2882	 0.0939	 0.3384	 0.0762	
     5	 0.2840	 0.0273	 0.2405	 0.0172	 0.4362	 0.1353	 0.7812	 0.3115	-0.4228	-0.1911	-0.1068	-0.0644	 0.2882	 0.0939	 0.3384	 0.0762	
     6	 0.2840	 0.0273	 0.2405	 0.0172	 0.4441	 0.1240	 0.7812	 0.3115	-0.4228	-0.1911	-0.0990	-0.0757	 0.2882	 0.0939	 0.3217	 0.0821	
     7	 0.2672	 0.0333	 0.2405	 0.0172	 0.4441	 0.1240	 0.7812	 0.3115	-0.4484	-0.1906	-0.1157	-0.0698	 0.2804	 0.1052	 0.3306	 0.0875	
     8	 0.2583	 0.0279	 0.2238	 0.0231	 0.4352	 0.1187	 0.7812	 0.3115	-0.4573	-0.1960	-0.1157	-0.0698	 0.2804	 0.1052	 0.3306	 0.0875	
     9	 0.2583	 0.0279	 0.2405	 0.0172	 0.4352	 0.1187	 0.7901	 0.3168	-0.4751	-0.2067	-0.1157	-0.0698	 0.2804	 0.1052	 0.3395	 0.0928	
