OxySoft export of:	E:\???????????\changsha\????\fNIRES????\CUTIN\49-0-1
Export date:	2022/12/13 16:37:44
Start of measurement:	2022-11-24 17:50:57.891

Datafile sample rate:	50.00	Hz
Datafile duration:	32.720	s
Datafile total number of samples:	1636

Description:	

Optode-template:	OctaMon+ 2x4 channel
Optode distance (mm):	 30.00	30.00
Optode gradients (mm):	 -	-
DPF:	5.85	5.85

Device id:	16168
# Receivers:	2
# Light sources:	16
# ADC:	1

Light source wavelengths:
device	index	wavelength
1	1	844	nm
1	2	757	nm
1	3	844	nm
1	4	757	nm
1	5	844	nm
1	6	757	nm
1	7	844	nm
1	8	757	nm
1	9	844	nm
1	10	757	nm
1	11	844	nm
1	12	757	nm
1	13	844	nm
1	14	757	nm
1	15	844	nm
1	16	757	nm

Export sample rate:	50.00	Hz
Selected time span:	0	32.720
Selected time span (sample numbers):	0	1636


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (49-0-1)
3	Rx1-Tx1 HHb (49-0-1)
4	Rx1-Tx2 O2Hb (49-0-1)
5	Rx1-Tx2 HHb (49-0-1)
6	Rx1-Tx3 O2Hb (49-0-1)
7	Rx1-Tx3 HHb (49-0-1)
8	Rx1-Tx4 O2Hb (49-0-1)
9	Rx1-Tx4 HHb (49-0-1)
10	Rx2-Tx5 O2Hb (49-0-1)
11	Rx2-Tx5 HHb (49-0-1)
12	Rx2-Tx6 O2Hb (49-0-1)
13	Rx2-Tx6 HHb (49-0-1)
14	Rx2-Tx7 O2Hb (49-0-1)
15	Rx2-Tx7 HHb (49-0-1)
16	Rx2-Tx8 O2Hb (49-0-1)
17	Rx2-Tx8 HHb (49-0-1)
18	(Event)


1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
     0	123.9330	85.0516	128.5198	85.3721	132.9988	88.1228	125.2466	82.7572	126.0585	83.8069	113.5196	79.9196	130.2981	86.5571	127.1774	86.5614	
     1	123.9330	85.0516	128.5198	85.3721	132.9988	88.1228	125.2466	82.7572	126.0585	83.8069	113.5196	79.9196	130.2981	86.5571	127.1774	86.5614	
     2	 0.7895	 0.0445	 0.8742	 0.0317	 0.5533	 0.0940	 0.8740	 0.1595	-0.7196	-0.4183	-0.4223	-0.4468	 0.0861	-0.1240	 0.8939	 0.2034	
     3	 0.7895	 0.0445	 0.8742	 0.0317	 0.5533	 0.0940	 0.8740	 0.1595	-0.7196	-0.4183	-0.4223	-0.4468	 0.0861	-0.1240	 0.8939	 0.2034	
     4	 0.7895	 0.0445	 0.8653	 0.0263	 0.5366	 0.0999	 0.8740	 0.1595	-0.7029	-0.4242	-0.4312	-0.4521	 0.0861	-0.1240	 0.8594	 0.1986	
     5	 0.7895	 0.0445	 0.8397	 0.0269	 0.5277	 0.0945	 0.8651	 0.1541	-0.7107	-0.4129	-0.4568	-0.4516	 0.0861	-0.1240	 0.8248	 0.1938	
     6	 0.7639	 0.0451	 0.8308	 0.0215	 0.5099	 0.0838	 0.8562	 0.1487	-0.7196	-0.4183	-0.4824	-0.4511	 0.0693	-0.1181	 0.7981	 0.1777	
     7	 0.7383	 0.0456	 0.8052	 0.0220	 0.4843	 0.0843	 0.8305	 0.1493	-0.7364	-0.4124	-0.4913	-0.4564	 0.0437	-0.1176	 0.7547	 0.1675	
     8	 0.7116	 0.0295	 0.7796	 0.0226	 0.4665	 0.0736	 0.8216	 0.1439	-0.7453	-0.4177	-0.5080	-0.4505	 0.0437	-0.1176	 0.7113	 0.1573	
     9	 0.6771	 0.0247	 0.7618	 0.0118	 0.4409	 0.0741	 0.7793	 0.1504	-0.7630	-0.4285	-0.5247	-0.4446	 0.0181	-0.1170	 0.6679	 0.1471	
